The generated random graph :
0,3
0,16
0,25
0,15
0,22
0,6
0,20
0,17
0,21
0,24
0,14
0,23
1,25
1,8
1,10
1,23
1,24
1,22
1,17
1,19
1,15
1,5
2,23
2,21
2,5
2,11
2,25
2,3
2,17
2,24
2,7
2,18
2,8
2,9
2,12
2,1
2,22
2,6
3,8
3,10
3,7
3,19
3,21
3,6
3,14
3,20
3,18
3,9
3,1
3,4
3,5
3,2
4,20
4,6
4,2
4,16
4,10
4,17
4,18
4,19
4,21
4,13
4,5
4,11
5,2
5,3
5,24
5,16
5,6
5,17
5,14
5,0
5,8
5,11
5,25
5,23
5,13
5,1
5,9
5,7
5,15
6,21
6,4
6,13
6,0
6,5
6,11
6,15
6,23
6,7
6,14
7,0
7,8
7,13
7,24
7,4
7,20
7,16
7,15
7,18
7,5
7,22
7,1
7,23
7,17
7,14
7,12
8,20
8,11
8,17
8,18
8,22
8,1
8,5
8,15
8,21
8,13
8,19
8,6
8,23
8,9
9,8
9,0
9,15
9,2
9,11
9,5
9,20
9,23
9,14
9,6
9,10
9,12
9,1
9,22
9,24
9,4
9,3
10,13
10,14
10,21
10,12
10,9
10,4
10,2
10,5
10,6
10,1
10,20
10,15
10,24
10,19
10,3
11,0
11,13
11,8
11,10
11,1
11,4
11,6
11,7
11,3
11,17
11,5
11,15
11,18
12,14
12,0
12,22
12,2
12,6
12,7
12,10
12,17
12,19
12,15
12,1
12,24
12,16
12,9
12,25
12,23
13,10
13,4
13,20
13,15
13,8
13,24
13,2
13,3
13,21
13,5
13,14
13,0
14,18
14,25
14,16
14,24
14,5
14,15
14,12
14,10
14,2
14,6
14,7
14,9
15,4
15,11
15,7
15,9
15,8
15,3
15,20
15,10
15,25
16,17
16,22
16,21
16,7
16,8
16,14
16,20
16,2
16,10
16,9
16,18
17,1
17,5
17,13
17,7
17,8
17,0
17,3
17,20
17,9
17,15
17,23
17,4
17,11
17,25
18,5
18,19
18,6
18,13
18,17
18,8
18,20
18,16
18,12
18,11
18,23
18,3
18,21
18,14
18,22
18,9
18,0
19,8
19,15
19,3
19,2
19,9
19,18
19,17
19,22
19,14
19,0
20,2
20,3
20,12
20,14
20,9
20,6
20,22
20,1
20,25
20,18
20,5
20,10
20,4
20,21
20,0
20,15
21,18
21,1
21,19
21,22
21,14
21,11
21,25
21,15
21,10
21,24
21,20
21,7
21,9
22,2
22,3
22,12
22,6
22,10
22,9
22,19
22,18
22,5
22,13
22,15
22,7
22,25
23,2
23,3
23,25
23,19
23,10
23,5
23,12
23,13
23,16
24,11
24,18
24,22
24,15
24,13
24,5
24,19
24,9
24,17
24,25
24,4
24,2
25,19
25,21
25,10
25,11
25,15
25,6
25,16
25,8
25,18
25,20
25,1
25,14
25,3
